Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
9000,1,1,1,9000,4,168,1344,1,9669,15030,9271,15348,18903,9625
,2,0.067,0.075,603,,,3864,2,9074,14102,8994,14972,18128,9811
,,,,,,,3360,3,8781,13645,8902,14873,17787,9708
,,,,,,,168,4,8576,13326,8844,14894,17620,9621
,,,,,,,,5,8502,13214,8923,15101,17718,9661
,,,,,,,,6,8641,13431,9193,15578,18287,9835
,,,,,,,,7,8954,13930,9472,15759,19287,9811
,,,,,,,,8,8903,13842,9754,15889,19935,10088
,,,,,,,,9,9269,14412,10041,15967,20793,10382
,,,,,,,,10,9709,15097,10291,16176,21575,10609
,,,,,,,,11,10142,15772,10377,16394,21961,10770
,,,,,,,,12,10402,16178,10464,16510,21886,11058
,,,,,,,,13,10652,16571,10495,16515,22021,11073
,,,,,,,,14,10669,16597,10361,16370,21699,11178
,,,,,,,,15,10360,16110,10277,15689,21436,11029
,,,,,,,,16,8838,13726,10285,15086,21555,11345
,,,,,,,,17,8476,13160,10817,16124,22905,11856
,,,,,,,,18,9924,15419,11360,17507,24174,12346
,,,,,,,,19,10716,16655,11488,17734,24510,12105
,,,,,,,,20,10546,16391,11264,17260,24124,11612
,,,,,,,,21,9842,15285,10612,16018,23160,11100
,,,,,,,,22,7758,12016,9865,14882,21635,10085
,,,,,,,,23,7344,11371,9520,14533,20292,9914
,,,,,,,,24,8626,13396,9251,14949,18880,9532
,,,,,,,,25,8843,13780,8812,14528,17571,9469
,,,,,,,,26,8463,13189,8700,14382,17219,9668
,,,,,,,,27,8249,12857,8677,14455,17147,9674
,,,,,,,,28,8236,12837,8811,14765,17454,9734
,,,,,,,,29,8377,13057,9081,15374,18075,9985
,,,,,,,,30,8837,13775,9641,16293,19359,10495
,,,,,,,,31,9581,14949,10285,16966,21138,10465
,,,,,,,,32,10000,15601,10705,17246,22403,10662
,,,,,,,,33,10419,16247,10872,17283,23122,10618
,,,,,,,,34,10755,16757,10975,17325,23567,10676
,,,,,,,,35,11177,17413,11059,17283,24088,10721
,,,,,,,,36,11364,17704,10976,17224,24057,10753
,,,,,,,,37,11426,17800,10871,17119,23705,10707
,,,,,,,,38,11407,17770,10765,16977,23217,10876
,,,,,,,,39,11277,17567,10766,16584,23093,11047
,,,,,,,,40,10642,16572,10963,16428,23942,11493
,,,,,,,,41,10872,16936,11872,18047,25809,12729
,,,,,,,,42,12460,19421,12411,19309,27175,12288
,,,,,,,,43,11905,18554,11766,18342,26011,11382
,,,,,,,,44,10863,16925,11036,17153,23852,10928
,,,,,,,,45,10002,15583,10369,15842,22509,10119
,,,,,,,,46,8548,13309,9694,14765,20441,9415
,,,,,,,,47,8425,13122,9135,14340,19011,9298
,,,,,,,,48,8961,13963,8918,14943,17785,9365
,,,,,,,,49,8941,13933,8657,14793,17052,9214
,,,,,,,,50,8580,13370,8546,14681,16650,9378
,,,,,,,,51,8403,13096,8578,14769,16536,9464
,,,,,,,,52,8410,13107,8713,15258,16815,9502
,,,,,,,,53,8685,13534,9182,16246,17684,9989
,,,,,,,,54,9479,14773,10139,17780,19712,10716
,,,,,,,,55,10801,16847,11142,18503,22598,11108
,,,,,,,,56,11583,18066,11501,18397,23967,11294
,,,,,,,,57,11859,18486,11307,18059,23688,11169
,,,,,,,,58,12024,18729,11174,17738,23132,11288
,,,,,,,,59,12332,19208,11089,17722,22926,11344
,,,,,,,,60,12516,19494,10980,17675,22574,11411
,,,,,,,,61,12613,19645,10874,17659,22447,11363
,,,,,,,,62,12669,19732,10793,17497,22204,11611
,,,,,,,,63,12498,19466,10779,17049,22205,12010
,,,,,,,,64,11090,17262,10863,16880,22837,12802
,,,,,,,,65,10847,16887,11759,18440,24596,13749
,,,,,,,,66,12548,19551,12325,20148,26172,12928
,,,,,,,,67,12339,19227,11758,18982,25055,11729
,,,,,,,,68,11125,17331,11051,17492,23127,11186
,,,,,,,,69,10337,16105,10357,16127,22094,10532
,,,,,,,,70,8352,12998,9572,14940,20374,10046
,,,,,,,,71,7528,11709,9136,14453,18844,9644
,,,,,,,,72,8965,13963,9059,14923,17969,9365
,,,,,,,,73,9326,14528,8863,14889,17129,9308
,,,,,,,,74,8929,13911,8757,14767,16796,9496
,,,,,,,,75,8716,13581,8754,14885,16712,9580
,,,,,,,,76,8716,13581,8918,15442,16940,9702
,,,,,,,,77,8958,13956,9353,16516,17762,10155
,,,,,,,,78,9762,15210,10320,18110,19763,10888
,,,,,,,,79,11064,17253,11332,18879,22644,11353
,,,,,,,,80,11830,18447,11668,18611,24145,11324
,,,,,,,,81,12049,18778,11504,18055,23747,11118
,,,,,,,,82,12129,18889,11328,17813,23096,11115
,,,,,,,,83,12411,19328,11135,17598,22905,11198
,,,,,,,,84,12653,19706,11064,17582,22793,11141
,,,,,,,,85,12788,19916,10995,17543,22753,11166
,,,,,,,,86,12883,20064,10829,17456,22587,11332
,,,,,,,,87,12707,19790,10955,17067,22635,11520
,,,,,,,,88,11427,17785,11187,16811,23420,11939
,,,,,,,,89,11231,17485,11945,18265,25050,12962
,,,,,,,,90,12733,19838,12435,19425,26696,12407
,,,,,,,,91,12347,19238,11751,18462,25301,11503
,,,,,,,,92,11187,17427,11002,17325,23365,11111
,,,,,,,,93,10320,16077,10290,15797,22194,10590
,,,,,,,,94,8076,12563,9460,14503,20580,9884
,,,,,,,,95,7481,11635,8900,14085,18859,9515
,,,,,,,,96,8786,13681,8814,14768,17533,9216
,,,,,,,,97,9345,14557,8573,14736,16763,9098
,,,,,,,,98,8927,13906,8455,14619,16412,9210
,,,,,,,,99,8700,13554,8423,14717,16287,9265
,,,,,,,,100,8712,13573,8622,15282,16571,9387
,,,,,,,,101,8975,13981,9059,16393,17426,9832
,,,,,,,,102,9734,15165,10000,18090,19385,10606
,,,,,,,,103,11056,17239,10979,18812,22267,11053
,,,,,,,,104,11744,18312,11305,18550,23821,10974
,,,,,,,,105,12018,18730,11156,18089,23441,10712
,,,,,,,,106,12144,18913,11038,17788,22857,10724
,,,,,,,,107,12383,19285,10984,17604,22765,10773
,,,,,,,,108,12644,19693,10824,17516,22427,10800
,,,,,,,,109,12785,19913,10804,17453,22355,10843
,,,,,,,,110,12854,20019,10731,17338,22163,11064
,,,,,,,,111,12718,19808,10751,17006,22189,11267
,,,,,,,,112,11496,17895,10945,16731,22808,11726
,,,,,,,,113,11031,17174,11605,18137,24361,12651
,,,,,,,,114,12515,19499,12330,19397,26549,12233
,,,,,,,,115,12163,18951,11778,18427,25664,11285
,,,,,,,,116,11024,17173,11083,17295,23952,10718
,,,,,,,,117,10179,15858,10439,15982,22938,9823
,,,,,,,,118,8003,12450,9705,14715,20948,9121
,,,,,,,,119,7400,11508,9138,14257,19869,9092
,,,,,,,,120,8667,13495,9141,14848,18987,9134
,,,,,,,,121,9400,14645,8959,14929,18262,9078
,,,,,,,,122,8990,14007,8883,14861,17911,9185
,,,,,,,,123,8764,13658,8919,14986,17913,9230
,,,,,,,,124,8773,13671,9091,15495,18245,9353
,,,,,,,,125,9016,14050,9541,16636,19171,9771
,,,,,,,,126,9788,15255,10503,18287,21226,10590
,,,,,,,,127,11106,17325,11401,19078,24139,11085
,,,,,,,,128,11820,18437,11811,18816,25773,11183
,,,,,,,,129,12106,18874,11729,18295,25613,11019
,,,,,,,,130,12131,18899,11599,17907,25020,11013
,,,,,,,,131,12341,19225,11472,17681,24777,11032
,,,,,,,,132,12462,19413,11329,17528,24402,11108
,,,,,,,,133,12480,19440,11223,17414,24230,11101
,,,,,,,,134,12463,19413,11144,17343,24039,11230
,,,,,,,,135,12219,19033,11160,16885,24160,11399
,,,,,,,,136,10818,16840,11338,16517,25180,11855
,,,,,,,,137,10563,16446,12063,17801,26957,13049
,,,,,,,,138,12163,18954,12493,18884,28183,12469
,,,,,,,,139,11811,18405,11798,17874,26665,11467
,,,,,,,,140,10665,16616,11005,16854,24391,10919
,,,,,,,,141,9944,15495,10435,15781,23574,10269
,,,,,,,,142,7735,12034,9841,14622,21921,9414
