Time_Index,None,east_south_central_coal,east_south_central_naturalgas,east_south_central_uranium,east_south_central_naturalgas_ccs100,east_south_central_naturalgas_ccs90
0,0.0,0.09552,0.05306,0.0,0.0,0.00531
1,0.0,1.86,3.77,0.73,3.77,3.77
2,0.0,1.86,3.77,0.73,3.77,3.77
3,0.0,1.86,3.77,0.73,3.77,3.77
4,0.0,1.86,3.77,0.73,3.77,3.77
5,0.0,1.86,3.77,0.73,3.77,3.77
6,0.0,1.86,3.77,0.73,3.77,3.77
7,0.0,1.86,3.77,0.73,3.77,3.77
8,0.0,1.86,3.77,0.73,3.77,3.77
9,0.0,1.86,3.77,0.73,3.77,3.77
10,0.0,1.86,3.77,0.73,3.77,3.77
11,0.0,1.86,3.77,0.73,3.77,3.77
12,0.0,1.86,3.77,0.73,3.77,3.77
13,0.0,1.86,3.77,0.73,3.77,3.77
14,0.0,1.86,3.77,0.73,3.77,3.77
15,0.0,1.86,3.77,0.73,3.77,3.77
16,0.0,1.86,3.77,0.73,3.77,3.77
17,0.0,1.86,3.77,0.73,3.77,3.77
18,0.0,1.86,3.77,0.73,3.77,3.77
19,0.0,1.86,3.77,0.73,3.77,3.77
20,0.0,1.86,3.77,0.73,3.77,3.77
21,0.0,1.86,3.77,0.73,3.77,3.77
22,0.0,1.86,3.77,0.73,3.77,3.77
23,0.0,1.86,3.77,0.73,3.77,3.77
24,0.0,1.86,3.77,0.73,3.77,3.77
25,0.0,1.86,3.77,0.73,3.77,3.77
26,0.0,1.86,3.77,0.73,3.77,3.77
27,0.0,1.86,3.77,0.73,3.77,3.77
28,0.0,1.86,3.77,0.73,3.77,3.77
29,0.0,1.86,3.77,0.73,3.77,3.77
30,0.0,1.86,3.77,0.73,3.77,3.77
31,0.0,1.86,3.77,0.73,3.77,3.77
32,0.0,1.86,3.77,0.73,3.77,3.77
33,0.0,1.86,3.77,0.73,3.77,3.77
34,0.0,1.86,3.77,0.73,3.77,3.77
35,0.0,1.86,3.77,0.73,3.77,3.77
36,0.0,1.86,3.77,0.73,3.77,3.77
37,0.0,1.86,3.77,0.73,3.77,3.77
38,0.0,1.86,3.77,0.73,3.77,3.77
39,0.0,1.86,3.77,0.73,3.77,3.77
40,0.0,1.86,3.77,0.73,3.77,3.77
41,0.0,1.86,3.77,0.73,3.77,3.77
42,0.0,1.86,3.77,0.73,3.77,3.77
43,0.0,1.86,3.77,0.73,3.77,3.77
44,0.0,1.86,3.77,0.73,3.77,3.77
45,0.0,1.86,3.77,0.73,3.77,3.77
46,0.0,1.86,3.77,0.73,3.77,3.77
47,0.0,1.86,3.77,0.73,3.77,3.77
48,0.0,1.86,3.77,0.73,3.77,3.77
49,0.0,1.86,3.77,0.73,3.77,3.77
